headline,label,score,raw_label,source,published,link
How Analysts See Globalstar’s Story Changing Amid Sale Talks and New Spectrum Opportunities,neutral,0.897629,neutral,,"Sat, 08 Nov 2025 16:12:40 +0000",https://finance.yahoo.com/news/analysts-see-globalstar-story-changing-161240961.html?.tsrc=rss
Why Apple Stock Might Be Spared If an AI Bubble Bursts,neutral,0.843237,neutral,,"Sat, 08 Nov 2025 15:11:47 +0000",https://247wallst.com/investing/2025/11/08/why-apple-stock-might-be-spared-if-an-ai-bubble-bursts/?.tsrc=rss
Every payment method Costco accepts: From EBT to Apple Pay,neutral,0.945023,neutral,,"Sat, 08 Nov 2025 15:08:00 +0000",https://www.thestreet.com/retail/what-payment-methods-does-costco-accept?.tsrc=rss
Today's AI boom is 'very different' from the 90s dot-com bubble,neutral,0.856740,neutral,,"Sat, 08 Nov 2025 13:00:30 +0000",https://finance.yahoo.com/video/todays-ai-boom-very-different-130030753.html?.tsrc=rss
Apple’s iPhone Air Is a Marketing Win and a Sales Flop,positive,0.749313,positive,,"Sat, 08 Nov 2025 12:00:00 +0000",https://finance.yahoo.com/m/2f8e782a-74d8-322b-b083-b1343ad96688/apple%E2%80%99s-iphone-air-is-a.html?.tsrc=rss
Elon Musk's pay package is a clear signal that Tesla is done being just a car company,neutral,0.727080,neutral,,"Sat, 08 Nov 2025 11:00:58 +0000",https://finance.yahoo.com/news/elon-musks-pay-package-is-a-clear-signal-that-tesla-is-done-being-just-a-car-company-110058483.html?.tsrc=rss
'We started with a second-hand minivan – our group tour travel firm is now a £30m business',neutral,0.906121,neutral,,"Sat, 08 Nov 2025 06:00:50 +0000",https://uk.finance.yahoo.com/news/expat-explore-group-travel-company-060050065.html?.tsrc=rss
Jim Cramer Says Companies Like Apple are “Nation-States With Good Balance Sheets”,positive,0.820747,positive,,"Sat, 08 Nov 2025 04:06:52 +0000",https://finance.yahoo.com/news/jim-cramer-says-companies-apple-040652435.html?.tsrc=rss
Why MP Materials (MP) Is Down 7.1% After Wider Q3 Losses and Profitability Guidance Shift,negative,0.973734,negative,,"Sat, 08 Nov 2025 00:21:35 +0000",https://finance.yahoo.com/news/why-mp-materials-mp-down-002135527.html?.tsrc=rss
Prediction: 2 Stocks That'll Be Worth More Than Palantir 10 Years From Now,neutral,0.588159,neutral,,"Sat, 08 Nov 2025 00:00:00 +0000",https://www.fool.com/investing/2025/11/07/prediction-2-stocks-thatll-be-worth-more-than-pala/?.tsrc=rss
MP Materials Stock Jumps After Earnings. Why the Market ‘Has It Wrong’ on Rare Earths.,negative,0.646040,negative,,"Fri, 07 Nov 2025 21:16:00 +0000",https://finance.yahoo.com/m/0997093b-a327-389e-b7d2-ee8b7ca367e4/mp-materials-stock-jumps.html?.tsrc=rss
"This Dancing Elephant Stomps All Magnificent 7 Stocks Except Google, Even Eclipsing Nvidia",neutral,0.818541,neutral,,"Fri, 07 Nov 2025 21:01:23 +0000",https://finance.yahoo.com/m/933cba75-9a24-33cc-b4ae-b55d69c1676d/this-dancing-elephant-stomps.html?.tsrc=rss
Samsung Wants to Launch a U.S. Credit Card and Challenge Apple in Consumer Finance,positive,0.645204,positive,,"Fri, 07 Nov 2025 20:43:00 +0000",https://finance.yahoo.com/m/5f57f804-8d10-356a-90dc-257a8e718714/samsung-wants-to-launch-a.html?.tsrc=rss
"Top Funds Gobble Up These 4 Stocks — And Nibble On Nvidia, Palantir",neutral,0.817138,neutral,,"Fri, 07 Nov 2025 20:19:15 +0000",https://finance.yahoo.com/m/408d75ce-e56c-30f4-9469-27536e0c1f39/top-funds-gobble-up-these-4.html?.tsrc=rss
"How Do These 2 Micro-caps ""Sound?""",neutral,0.941450,neutral,,"Fri, 07 Nov 2025 20:05:00 +0000",https://finance.yahoo.com/news/2-micro-caps-sound-200500817.html?.tsrc=rss
Arm Stock Triggers Sell Rule And Breaches Key Support Level,negative,0.954279,negative,,"Fri, 07 Nov 2025 19:58:26 +0000",https://finance.yahoo.com/m/a4483096-507d-379a-a0ce-0fa6f56c225b/arm-stock-triggers-sell-rule.html?.tsrc=rss
US telcos Q3 2025: Mobile carriers bundles and deals analysis,neutral,0.920157,neutral,,"Fri, 07 Nov 2025 18:47:08 +0000",https://www.verdict.co.uk/carriers-smartphone-promotions-analysis/?.tsrc=rss
I’m Watching For This Upcoming IPO After The Company Replaced Chinese Manufacturing,neutral,0.929254,neutral,,"Fri, 07 Nov 2025 18:18:03 +0000",https://247wallst.com/investing/2025/11/07/im-watching-for-this-upcoming-ipo-after-the-company-replaced-chinese-manufacturing/?.tsrc=rss
Warren Buffett vs. Michael Saylor: Who Made the Better Investment This Quarter,neutral,0.838349,neutral,,"Fri, 07 Nov 2025 18:14:09 +0000",https://247wallst.com/investing/2025/11/07/warren-buffett-vs-michael-saylor-who-made-the-better-investment-this-quarter/?.tsrc=rss
"Nvidia Hits $5 Trillion, But Can It Survive Without China?",neutral,0.849199,neutral,,"Fri, 07 Nov 2025 18:09:54 +0000",https://finance.yahoo.com/news/nvidia-hits-5-trillion-survive-180954378.html?.tsrc=rss
